"filename", "language", "YAML", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript", "JavaScript JSX", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"d:\APPS\WEB\bodilum\bodilum-v1\apps\server\tsconfig.json", "JSON with Comments", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\APPS\WEB\bodilum\bodilum-v1\apps\server\tsup.config.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\APPS\WEB\bodilum\bodilum-v1\apps\worker\package.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"d:\APPS\WEB\bodilum\bodilum-v1\apps\worker\src\worker.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\worker\tsconfig.json", "JSON with Comments", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\APPS\WEB\bodilum\bodilum-v1\apps\worker\tsup.config.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\APPS\WEB\bodilum\bodilum-v1\package.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\APPS\WEB\bodilum\bodilum-v1\packages\eslint-config\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\APPS\WEB\bodilum\bodilum-v1\packages\eslint-config\base.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 2, 33
"d:\APPS\WEB\bodilum\bodilum-v1\packages\eslint-config\next.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 2, 58
"d:\APPS\WEB\bodilum\bodilum-v1\packages\eslint-config\package.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\APPS\WEB\bodilum\bodilum-v1\packages\eslint-config\react-internal.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 5, 2, 40
"d:\APPS\WEB\bodilum\bodilum-v1\packages\typescript-config\base.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\APPS\WEB\bodilum\bodilum-v1\packages\typescript-config\nextjs.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\APPS\WEB\bodilum\bodilum-v1\packages\typescript-config\package.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\APPS\WEB\bodilum\bodilum-v1\packages\typescript-config\react-library.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\APPS\WEB\bodilum\bodilum-v1\packages\ui\eslint.config.mjs", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"d:\APPS\WEB\bodilum\bodilum-v1\packages\ui\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"d:\APPS\WEB\bodilum\bodilum-v1\packages\ui\src\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"d:\APPS\WEB\bodilum\bodilum-v1\packages\ui\src\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"d:\APPS\WEB\bodilum\bodilum-v1\packages\ui\src\code.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\APPS\WEB\bodilum\bodilum-v1\packages\ui\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\APPS\WEB\bodilum\bodilum-v1\packages\ui\tsconfig.json", "JSON with Comments", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\APPS\WEB\bodilum\bodilum-v1\packages\ui\tsup.config.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 1, 16
"d:\APPS\WEB\bodilum\bodilum-v1\packages\utils\package.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\APPS\WEB\bodilum\bodilum-v1\packages\utils\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\APPS\WEB\bodilum\bodilum-v1\packages\utils\tsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\APPS\WEB\bodilum\bodilum-v1\packages\utils\tsup.config.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\APPS\WEB\bodilum\bodilum-v1\pnpm-lock.yaml", "YAML", 5815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1489, 7304
"d:\APPS\WEB\bodilum\bodilum-v1\pnpm-workspace.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\APPS\WEB\bodilum\bodilum-v1\src\components\ui\color-mode.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 10, 91
"d:\APPS\WEB\bodilum\bodilum-v1\src\components\ui\provider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\APPS\WEB\bodilum\bodilum-v1\src\components\ui\toaster.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"d:\APPS\WEB\bodilum\bodilum-v1\src\components\ui\tooltip.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"d:\APPS\WEB\bodilum\bodilum-v1\turbo.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 5818, 171, 26643, 190, 187, 67, 163, 964, 32, 108, 32, 1840, 36215
